Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "KW2CPU.PCB.brd" as of: 8/11/2015 3:34:55 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
A1,Top,1.276,-0.386,90
A2,Top,1.276,0.441,270
C1,Top,0.909,0.303,270
C2,Top,0.705,0.303,90
C3,Top,0.602,-0.291,270
C4,Top,0.406,-0.295,90
C5,Top,0.874,0.118,0
C6,Top,0.874,0.083,0
C7,Top,0.874,0.047,0
C8,Top,0.886,-0.240,0
C9,Top,0.886,-0.280,0
C10,Top,0.370,-0.071,180
C11,Top,0.370,-0.110,180
C12,Top,0.370,-0.150,180
C13,Top,0.744,-0.295,270
C14,Top,0.705,-0.295,270
C15,Top,0.665,-0.295,270
C16,Top,0.886,-0.189,0
C17,Top,0.886,-0.110,0
C18,Top,0.886,-0.150,0
C19,Top,0.303,-0.146,90
C20,Top,0.921,-0.006,0
C21,Top,0.945,0.118,90
C22,Top,1.043,-0.110,0
C23,Top,1.098,-0.110,180
C24,Top,1.295,-0.130,0
C25,Top,1.295,-0.012,0
C26,Top,1.295,0.083,0
C27,Top,1.295,0.185,0
C28,Top,1.193,0.213,180
C29,Top,1.128,0.213,0
C30,Top,0.976,0.224,270
IC1,Top,0.398,0.386,270
J1,Top,-0.039,0.000,90
L1,Top,0.866,0.004,270
L2,Top,0.866,-0.016,270
L3,Top,1.071,-0.169,270
L4,Top,1.276,-0.067,270
L5,Top,1.276,0.134,270
R1,Top,0.382,-0.197,0
R2,Top,1.012,0.224,270
R3,Top,1.065,0.191,270
R4,Top,0.957,0.004,270
R5,Top,0.957,-0.016,270
R6,Top,0.980,0.083,270
R7,Top,1.047,0.260,90
R8,Top,1.091,0.260,270
R9,Top,1.169,0.260,90
R10,Top,0.165,0.232,0
R11,Top,0.177,0.457,90
R12,Top,0.602,0.457,90
TP1,Bottom,0.630,-0.394,0
TP2,Bottom,0.295,-0.020,0
TP3,Bottom,0.004,0.319,0
TP4,Bottom,0.339,0.236,0
TP5,Bottom,0.098,0.315,0
TP6,Bottom,0.972,-0.339,0
TP7,Bottom,0.886,-0.339,0
TP8,Bottom,0.988,0.287,0
TP9,Bottom,-0.142,0.406,0
TP10,Bottom,0.063,0.539,0
TP11,Bottom,0.110,0.476,0
TP12,Bottom,-0.256,0.276,0
TP13,Bottom,-0.091,0.004,0
TP14,Bottom,-0.024,-0.063,0
TP15,Bottom,-0.256,-0.374,0
TP16,Bottom,-0.256,-0.531,0
TP17,Bottom,-0.256,-0.295,0
TP18,Bottom,-0.256,-0.453,0
U$2,Bottom,-0.213,0.480,0
U$3,Bottom,-0.063,-0.339,0
U$4,Bottom,1.122,-0.307,0
U$5,Top,-0.063,-0.339,0
U$6,Top,1.122,-0.307,0
U$7,Top,-0.213,0.480,0
U1,Top,0.463,0.152,270
U3,Top,1.098,0.035,0
U4,Top,0.213,-0.335,90
X1,Top,0.504,-0.295,0
X2,Top,0.807,0.303,0
